7023                     |0.000,0.000,0.000        |Niebieski bez            
7023                     |0.000,0.000,0.000        |Niebieski bez            
7023                     |0.000,0.000,0.000        |Niebieski bez            
7371                     |0.000,0.000,0.000        |Zwój                     
7375                     |0.000,0.000,0.000        |Zwój                     
7371                     |0.000,0.000,0.000        |Zwój                     
7083                     |0.000,0.000,0.000        |Strza³a                  
7083                     |0.000,0.000,0.000        |Strza³a                  
7083                     |0.000,0.000,0.000        |Strza³a                  
7083                     |0.000,0.000,0.000        |Strza³a                  
7083                     |0.000,0.000,0.000        |Strza³a                  
7083                     |0.000,0.000,0.000        |Strza³a                  
7083                     |0.000,0.000,0.000        |Strza³a                  
7087                     |0.000,0.000,0.000        |Krótki ³uk               
7371                     |0.000,0.000,0.000        |Zwój                     
7065                     |0.000,0.000,0.000        |Mikstura                 
7059                     |0.000,0.000,0.000        |Mikstura                 
7001                     |0.000,0.000,0.000        |Ognista pokrzywa         
7007                     |0.000,0.000,0.000        |Roœlina lecznicza        
7009                     |0.000,0.000,0.000        |Ziele lecznicze          
7420                     |0.000,0.000,0.000        |Skórzany mieszek         
7059                     |0.000,0.000,0.000        |Mikstura                 
7059                     |0.000,0.000,0.000        |Mikstura                 
7371                     |0.000,0.000,0.000        |Zwój                     
7420                     |0.000,0.000,0.000        |Skórzany mieszek         
7007                     |0.000,0.000,0.000        |Roœlina lecznicza        
7019                     |0.000,0.000,0.000        |Ciemny grzyb             
7023                     |0.000,0.000,0.000        |Niebieski bez            
7007                     |0.000,0.000,0.000        |Roœlina lecznicza        
7019                     |0.000,0.000,0.000        |Ciemny grzyb             
7019                     |0.000,0.000,0.000        |Ciemny grzyb             
7007                     |0.000,0.000,0.000        |Roœlina lecznicza        
7019                     |0.000,0.000,0.000        |Ciemny grzyb             
7019                     |0.000,0.000,0.000        |Ciemny grzyb             
7019                     |0.000,0.000,0.000        |Ciemny grzyb             
7001                     |0.000,0.000,0.000        |Ognista pokrzywa         
7007                     |0.000,0.000,0.000        |Roœlina lecznicza        
7007                     |0.000,0.000,0.000        |Roœlina lecznicza        
7001                     |0.000,0.000,0.000        |Ognista pokrzywa         
7001                     |0.000,0.000,0.000        |Ognista pokrzywa         
7001                     |0.000,0.000,0.000        |Ognista pokrzywa         
7007                     |0.000,0.000,0.000        |Roœlina lecznicza        
7007                     |0.000,0.000,0.000        |Roœlina lecznicza        
7007                     |0.000,0.000,0.000        |Roœlina lecznicza        
7019                     |0.000,0.000,0.000        |Ciemny grzyb             
7019                     |0.000,0.000,0.000        |Ciemny grzyb             
7019                     |0.000,0.000,0.000        |Ciemny grzyb             
7019                     |0.000,0.000,0.000        |Ciemny grzyb             
7019                     |0.000,0.000,0.000        |Ciemny grzyb             
7019                     |0.000,0.000,0.000        |Ciemny grzyb             
7019                     |0.000,0.000,0.000        |Ciemny grzyb             
6778                     |0.000,0.000,0.000        |Zardzewia³y topór        
7007                     |0.000,0.000,0.000        |Roœlina lecznicza        
7007                     |0.000,0.000,0.000        |Roœlina lecznicza        
7023                     |0.000,0.000,0.000        |Niebieski bez            
7023                     |0.000,0.000,0.000        |Niebieski bez            
7023                     |0.000,0.000,0.000        |Niebieski bez            
7023                     |0.000,0.000,0.000        |Niebieski bez            
6740                     |0.000,0.000,0.000        |Gin                      
6760                     |0.000,0.000,0.000        |Sztylet                  
6929                     |0.000,0.000,0.000        |Z³oto                    
7019                     |0.000,0.000,0.000        |Ciemny grzyb             
7019                     |0.000,0.000,0.000        |Ciemny grzyb             
7019                     |0.000,0.000,0.000        |Ciemny grzyb             
7019                     |0.000,0.000,0.000        |Ciemny grzyb             
7007                     |0.000,0.000,0.000        |Roœlina lecznicza        
7007                     |0.000,0.000,0.000        |Roœlina lecznicza        
6765                     |0.000,0.000,0.000        |Laga                     
7065                     |0.000,0.000,0.000        |Mikstura                 
7065                     |0.000,0.000,0.000        |Mikstura                 
7007                     |0.000,0.000,0.000        |Roœlina lecznicza        
